title,rating,user_rating_score
Almost Adults,NR,NA
The Waterboy,PG-13,82
10 Things I Hate About You,PG-13,68
Grease,PG,86
How to Lose a Guy in 10 Days,PG-13,56
The Benchwarmers,PG-13,77
Step Up,PG-13,64
High School Musical 2,TV-G,58
Twilight,PG-13,89
Coraline,PG,95
Hannah Montana: The Movie,G,56
The Office (U.S.),TV-14,97
Friday Night Lights,TV-PG,81
StarStruck,TV-G,NA
Grey's Anatomy,TV-14,98
Prison Break,TV-14,98
90210,TV-14,62
Gossip Girl,TV-14,96
How I Met Your Mother,TV-PG,94
Glee,TV-PG,92
The Vampire Diaries,TV-14,91
Family Guy,TV-MA,98
Criminal Minds,TV-14,98
Friends,TV-14,98
Mean Girls 2,PG-13,NA
The Secret Life of the American Teenager,TV-14,81
That '70s Show,TV-14,89
Gilmore Girls,TV-14,91
Parenthood,TV-14,79
Heartland,TV-PG,85
Pretty Little Liars,TV-14,96
Shameless (U.S.),TV-MA,97
Switched at Birth,TV-14,83
New Girl,TV-14,91
Hart of Dixie,TV-PG,81
The Client List,TV-14,92
The Carrie Diaries,TV-14,NA
Safe Haven,PG-13,62
Baby Daddy,TV-14,80
The Night Shift,TV-14,93
Reign,TV-14,79
Grace and Frankie,TV-MA,90
How to Get Away with Murder,TV-14,95
Fuller House,TV-G,90
Finding Dory,PG,98
Gilmore Girls: A Year in the Life,TV-14,77
13 Reasons Why,TV-MA,99
Amy Schumer: The Leather Special,TV-MA,NA
Cheer Squad,TV-PG,61
Dave Chappelle,TV-MA,94
The Waterboy,PG-13,82
Grease,PG,86
The Wedding Planner,PG-13,NA
Blow,R,78
High School Musical,TV-G,64
High School Musical 2,TV-G,58
Twilight,PG-13,89
Hannah Montana: The Movie,G,56
The Office (U.S.),TV-14,97
Bones,TV-14,97
Law & Order: Special Victims Unit,TV-14,97
Prison Break,TV-14,98
Nurse Jackie,TV-MA,82
NCIS,TV-14,97
Gossip Girl,TV-14,96
How I Met Your Mother,TV-PG,94
Supernatural,TV-14,95
Parks and Recreation,TV-14,94
Glee,TV-PG,92
The Vampire Diaries,TV-14,91
Criminal Minds,TV-14,98
Friends,TV-14,98
Mean Girls 2,PG-13,NA
The Secret Life of the American Teenager,TV-14,81
One Tree Hill,TV-14,90
Army Wives,TV-14,61
Gilmore Girls,TV-14,91
Private Practice,TV-14,88
Parenthood,TV-14,79
Pretty Little Liars,TV-14,96
Shameless (U.S.),TV-MA,97
New Girl,TV-14,91
Revenge,TV-PG,84
Scandal,TV-14,92
Magic Mike,R,77
Trouble with the Curve,PG-13,63
Orange Is the New Black,TV-MA,98
Baby Daddy,TV-14,80
The Night Shift,TV-14,93
The Originals,TV-14,74
Home,PG,94
How to Get Away with Murder,TV-14,95
Zootopia,PG,97
Finding Dory,PG,98
Sausage Party,R,91
Skin Wars,TV-14,69
Girlboss,TV-MA,94
13 Reasons Why,TV-MA,99
Felipe Neto: My Life Makes No Sense,TV-MA,NA
Cheer Squad,TV-PG,61
Lost,TV-14,98
Weeds,TV-MA,85
The Tudors,TV-MA,NA
Grey's Anatomy,TV-14,98
Lie to Me,TV-14,89
Prison Break,TV-14,98
Gossip Girl,TV-14,96
Glee,TV-PG,92
The Vampire Diaries,TV-14,91
The Secret Life of the American Teenager,TV-14,81
Drop Dead Diva,TV-PG,NA
Gilmore Girls,TV-14,91
Charmed,TV-PG,90
White Collar,TV-PG,93
House of Cards,TV-MA,91
Pretty Little Liars,TV-14,96
The Killing,TV-14,73
Shameless (U.S.),TV-MA,97
Hart of Dixie,TV-PG,81
Once Upon a Time,TV-PG,98
Scandal,TV-14,92
The Client List,TV-14,92
Unconditional,PG-13,NA
Bates Motel,TV-14,83
The Blacklist,TV-14,96
The Fosters,TV-14,73
Reign,TV-14,79
The Originals,TV-14,74
The 100,NR,97
Witches of East End,TV-14,NA
Bitten,TV-MA,56
London Has Fallen,R,96
Marvel's Jessica Jones,TV-MA,83
Bloodline,TV-MA,NA
Grace and Frankie,TV-MA,90
Velvet,TV-14,NA
How to Get Away with Murder,TV-14,95
The Crown,TV-MA,84
Jane The Virgin,TV-14,91
Kurt Seyit & Sura,TV-14,NA
The Returned,TV-14,NA
The Girl in the Book,TV-MA,NA
Quantico,TV-14,88
Life in Pieces,TV-14,68
Ingobernable,TV-MA,96
Girlboss,TV-MA,94
13 Reasons Why,TV-MA,99
Greenleaf,TV-14,62
100 Metros,TV-MA,NA
Bones,TV-14,97
Dexter,TV-MA,95
Leverage,TV-PG,86
Grey's Anatomy,TV-14,98
Lie to Me,TV-14,89
Prison Break,TV-14,98
NCIS,TV-14,97
Burn Notice,TV-14,85
Breaking Bad,TV-MA,97
Criminal Minds,TV-14,98
White Collar,TV-PG,93
Luther,TV-14,69
Hawaii Five-0,TV-14,96
House of Cards,TV-MA,91
Last Man Standing,TV-PG,97
Revenge,TV-PG,84
Person of Interest,TV-14,93
Scandal,TV-14,92
Touch,TV-14,68
Sherlock,TV-14,95
Breakout Kings,TV-14,88
The Client List,TV-14,92
Arrow,TV-14,96
The Following,TV-14,NA
"Drugs, Inc.",TV-14,NA
Longmire,TV-14,92
Ripper Street,TV-MA,NA
The Fall,TV-MA,61
Death in Paradise,TV-14,77
Marvel's Agents of S.H.I.E.L.D.,TV-PG,89
Crossing Lines,TV-14,66
London Has Fallen,R,96
Halt and Catch Fire,TV-14,NA
Marvel's Iron Fist,TV-MA,98
The Honorable Woman,TV-MA,NA
Transporter: The Series,TV-MA,NA
Gotham,TV-14,85
Better Call Saul,TV-MA,95
How to Get Away with Murder,TV-14,95
Narcos,TV-MA,94
American Odyssey,TV-14,NA
Aquarius,TV-MA,NA
Hap and Leonard,TV-MA,57
Rosewood,TV-14,81
Quantico,TV-14,88
Limitless,TV-14,84
Travelers,TV-MA,86
The Doctor Blake Mysteries,TV-MA,57
I.T,NR,NA
Bordertown,TV-MA,NA
The Office (U.S.),TV-14,97
Grey's Anatomy,TV-14,98
Law & Order: Special Victims Unit,TV-14,97
Lie to Me,TV-14,89
Prison Break,TV-14,98
90210,TV-14,62
Gossip Girl,TV-14,96
How I Met Your Mother,TV-PG,94
Parks and Recreation,TV-14,94
The Vampire Diaries,TV-14,91
Criminal Minds,TV-14,98
Friends,TV-14,98
The West Wing,TV-14,79
Parenthood,TV-14,79
White Collar,TV-PG,93
Blue Bloods,TV-14,95
House of Cards,TV-MA,91
Pretty Little Liars,TV-14,96
The Killing,TV-14,73
Shameless (U.S.),TV-MA,97
New Girl,TV-14,91
Revenge,TV-PG,84
Person of Interest,TV-14,93
Once Upon a Time,TV-PG,98
Scandal,TV-14,92
Forensic Files,TV-14,88
Sherlock,TV-14,95
The Client List,TV-14,92
Orange Is the New Black,TV-MA,98
Rectify,TV-14,NA
Black Mirror,TV-MA,80
Bates Motel,TV-14,83
The Fall,TV-MA,61
The Blacklist,TV-14,96
Being Mary Jane: The Series,TV-14,NA
American Crime,TV-14,NA
Madam Secretary,TV-14,70
Sense8,TV-MA,81
Scream,TV-14,NA
Rosewood,TV-14,81
The Great British Baking Show,TV-PG,94
Quantico,TV-14,88
Limitless,TV-14,84
American Crime Story: The People v. O.J. Simpson,TV-MA,79
Santa Clarita Diet,TV-MA,82
No Tomorrow,TV-14,NA
Girlboss,TV-MA,94
13 Reasons Why,TV-MA,99
The Doctor Blake Mysteries,TV-MA,57
Greenleaf,TV-14,62
The Nightmare Before Christmas,PG,84
Scooby-Doo,PG,86
Chicken Little,G,92
Teenage Mutant Ninja Turtles,PG,NA
Star Wars: The Clone Wars,PG,57
Coraline,PG,95
The Smurfs and the Magic Flute,G,NA
We're Back! A Dinosaur's Story,G,NA
Thomas & Friends: Thomas & the Runaway Kite,TV-Y,NA
Dino Squad,TV-Y7,NA
Cars Toons: Mater's Tall Tales,TV-G,74
LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,NA
Star Wars: The Clone Wars,TV-PG,93
Phineas and Ferb,TV-G,89
The Batman,TV-Y7,77
Justice League,TV-Y7-FV,66
Justice League Unlimited,TV-Y7-FV,NA
Mighty Morphin Power Rangers,TV-Y7-FV,73
Young Justice,TV-PG,71
The Super Mario Bros. Super Show!,TV-Y7,NA
Power Rangers Zeo,TV-Y7-FV,NA
Oscar's Oasis,TV-G,NA
Transformers Prime,TV-Y7-FV,NA
The Adventures of Chuck & Friends,TV-Y,NA
Transformers: Rescue Bots,TV-Y7,NA
Thomas & Friends: King of the Railway,TV-G,NA
LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,NA
Max Steel,TV-Y7-FV,NA
Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,NA
Agent F.O.X.,PG,NA
VeggieTales in the House,TV-Y,NA
Thunder and the House Of Magic,TV-G,NA
All Hail King Julien,TV-Y7-FV,71
Kong: King of the Apes,TV-Y7-FV,NA
Marvel Super Hero Adventures: Frost Fight!,PG,NA
Slugterra: Slug Fu Showdown,TV-Y7-FV,NA
Dinotrux,TV-Y7-FV,NA
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,NA
Lego DC Comics: Batman Be-Leaguered,TV-Y7,NA
Trollhunters,TV-Y7-FV,83
Power Rangers Dino Charge,TV-Y7,NA
Bunks,TV-PG,NA
The Jungle Book,PG,97
The Angry Birds Movie,PG,92
The Secret Life of Pets,PG,NA
The Furchester Hotel,TV-Y,NA
Marvel's Hulk: Where Monsters Dwell,PG,NA
Angry Birds,TV-G,NA
Talking Tom and Friends,TV-G,61
Nexo Knights,TV-Y7-FV,NA
The Nightmare Before Christmas,PG,84
An Extremely Goofy Movie,G,67
Scooby-Doo,PG,86
The Iron Giant,PG,83
Star Wars: The Clone Wars,PG,57
Cars Toons: Mater's Tall Tales,TV-G,74
The Batman,TV-Y7,77
Justice League,TV-Y7-FV,66
Justice League Unlimited,TV-Y7-FV,NA
The Cat in the Hat Knows a Lot About That!,TV-Y,NA
Mighty Morphin Power Rangers,TV-Y7-FV,73
Bob the Builder,TV-Y,NA
Beyblade: Metal Fusion,TV-Y7,NA
Ninja Turtles: The Next Mutation,TV-Y7-FV,NA
Transformers Prime,TV-Y7-FV,NA
DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,NA
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,67
Transformers: Rescue Bots,TV-Y7,NA
Goosebumps,TV-Y7,88
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,NA
Super Buddies,G,NA
Tad: The Lost Explorer,TV-PG,NA
Pok̩mon: Indigo League,TV-Y,74
Ratchet and Clank,PG,74
Pac-Man and the Ghostly Adventures,TV-Y7,NA
Iron Man & Captain America: Heroes United,PG,NA
Power Rangers Super Megaforce,TV-Y7,NA
Chuggington,TV-Y,NA
All Hail King Julien,TV-Y7-FV,71
The Adventures of Puss in Boots,TV-Y7-FV,78
Kong: King of the Apes,TV-Y7-FV,NA
Marvel Super Hero Adventures: Frost Fight!,PG,NA
Some Assembly Required,TV-G,NA
Dinotrux,TV-Y7-FV,NA
Edgar Rice Burroughs' Tarzan and Jane,TV-Y7-FV,NA
Kulipari: An Army of Frogs,TV-Y7-FV,NA
Transformers: Robots in Disguise,TV-Y7,NA
Robocar Poli,TV-Y,NA
LEGO Bionicle: The Journey to One,TV-Y7-FV,NA
Lego DC Comics: Batman Be-Leaguered,TV-Y7,NA
Voltron: Legendary Defender,TV-Y7-FV,NA
Trollhunters,TV-Y7-FV,83
Buddy Thunderstruck,TV-PG,NA
Power Rangers Dino Charge,TV-Y7,NA
Pok̩mon: XY,TV-Y7-FV,56
Power Rangers Dino Super Charge,TV-Y7,NA
The Deep,TV-Y7,NA
Skylanders Academy,TV-Y7,NA
Marvel's Hulk: Where Monsters Dwell,PG,NA
Growing Up Wild,G,80
The Little Rascals,PG,86
Flubber,PG,83
Tarzan,G,95
The Emperor's New Groove,G,95
Scooby-Doo,PG,86
Lilo & Stitch,PG,95
Scooby-Doo 2: Monsters Unleashed,PG,82
The Three Musketeers,G,NA
Mickey's Twice Upon a Christmas,G,NA
The Pacifier,PG,91
Chicken Little,G,92
Teenage Mutant Ninja Turtles,PG,NA
Bee Movie,PG,94
Kung Fu Panda,PG,91
Coraline,PG,95
Cars Toons: Mater's Tall Tales,TV-G,74
Phineas and Ferb,TV-G,89
Super Why!,TV-Y,68
Jessie,TV-G,88
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,NA
Lab Rats,TV-Y7,85
Masha and the Bear,TV-Y,81
Pocoyo,TV-Y,67
Home,PG,94
Chuggington,TV-Y,NA
Octonauts,TV-Y,NA
Dragons: Race to the Edge,TV-Y7-FV,88
Mother Goose Club,TV-Y,NA
Little Einsteins,TV-Y,70
Hotel Transylvania 2,PG,93
Dawn of the Croods,TV-Y7,72
Dinotrux,TV-Y7-FV,NA
Goosebumps,PG,90
Kung Fu Panda 3,PG,92
Zootopia,PG,97
The Jungle Book,PG,97
Home: Adventures with Tip & Oh,TV-Y7,NA
Open Season: Scared Silly,PG,72
The Land Before Time XIV: Journey of the Brave,G,NA
The Angry Birds Movie,PG,92
Alice Through the Looking Glass,PG,96
Finding Dory,PG,98
The Secret Life of Pets,PG,NA
Ask the StoryBots,TV-Y,NA
The Furchester Hotel,TV-Y,NA
Goldie & Bear,TV-Y,77
Little Baby Bum: Nursery Rhyme Friends,TV-Y,NA
Angry Birds,TV-G,NA
Tayo the Little Bus,TV-Y,NA
Talking Tom and Friends,TV-G,61
The Little Rascals,PG,86
Antz,PG,80
Tarzan,G,95
An Extremely Goofy Movie,G,67
Chicken Run,G,80
The Emperor's New Groove,G,95
Lilo & Stitch,PG,95
Spy Kids 3: Game Over,PG,64
Annie,PG,68
Mulan 2,G,85
Chicken Little,G,92
Lilo & Stitch 2: Stitch Has A Glitch,PG,85
Teenage Mutant Ninja Turtles,PG,NA
Bee Movie,PG,94
Kung Fu Panda,PG,91
Cars Toons: Mater's Tall Tales,TV-G,74
Super Why!,TV-Y,68
DreamWorks Shrek's Swamp Stories,TV-PG,56
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,NA
DreamWorks Spooky Stories: Volume 2,TV-PG,NA
The Magic School Bus,TV-Y,81
Goosebumps,TV-Y7,88
Sammy 2,TV-PG,NA
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,NA
Masha and the Bear,TV-Y,81
Pocoyo,TV-Y,67
Sofia the First,TV-Y,82
Barbie Life in the Dreamhouse,TV-G,85
Paddington,PG,70
Larva,TV-G,NA
Sid the Science Kid,TV-Y,NA
Chuggington,TV-Y,NA
All Hail King Julien,TV-Y7-FV,71
Octonauts,TV-Y,NA
Minions,PG,96
Dragons: Race to the Edge,TV-Y7-FV,88
Little Einsteins,TV-Y,70
Hotel Transylvania 2,PG,93
Dinotrux,TV-Y7-FV,NA
The Little Prince,PG,71
Word Party,TV-Y,NA
Zootopia,PG,97
The Jungle Book,PG,97
Home: Adventures with Tip & Oh,TV-Y7,NA
Open Season: Scared Silly,PG,72
The Angry Birds Movie,PG,92
Finding Dory,PG,98
The Secret Life of Pets,PG,NA
Goldie & Bear,TV-Y,77
Talking Tom and Friends,TV-G,61
Cool Runnings,PG,81
Homeward Bound: The Incredible Journey,G,96
The Little Rascals,PG,86
Anastasia,G,93
Tarzan,G,95
The Emperor's New Groove,G,95
Scooby-Doo,PG,86
Lilo & Stitch,PG,95
Missione Hamburger,PG,75
Chicken Little,G,92
Curious George,G,55
Bee Movie,PG,94
Kung Fu Panda,PG,91
Coraline,PG,95
Cars Toons: Mater's Tall Tales,TV-G,74
Super Why!,TV-Y,68
Jessie,TV-G,88
Secret of the Wings,G,65
The Magic School Bus,TV-Y,81
Sammy 2,TV-PG,NA
Masha and the Bear,TV-Y,81
Sofia the First,TV-Y,82
Barbie Life in the Dreamhouse,TV-G,85
Clifford the Big Red Dog,TV-Y,NA
Home,PG,94
Paddington,PG,70
Chuggington,TV-Y,NA
Octonauts,TV-Y,NA
Minions,PG,96
Dragons: Race to the Edge,TV-Y7-FV,88
Little Einsteins,TV-Y,70
Hotel Transylvania 2,PG,93
Dinotrux,TV-Y7-FV,NA
Walt Disney Animation Studios Short Films Collection,TV-G,84
Kung Fu Panda 3,PG,92
Bunk'd,TV-G,61
Zootopia,PG,97
The Jungle Book,PG,97
Open Season: Scared Silly,PG,72
The Land Before Time XIV: Journey of the Brave,G,NA
The Angry Birds Movie,PG,92
Alice Through the Looking Glass,PG,96
The BFG,PG,97
The Secret Life of Pets,PG,NA
Pete's Dragon,PG,93
Kubo and the Two Strings,PG,96
Goldie & Bear,TV-Y,77
Little Baby Bum: Nursery Rhyme Friends,TV-Y,NA
Growing Up Wild,G,80
The Real Ghostbusters,TV-Y7,65
Cool Runnings,PG,81
Anastasia,G,93
Antz,PG,80
Babe: Pig in the City,G,NA
The Prince of Egypt,PG,81
Paulie,PG,NA
Tarzan,G,95
The Road to El Dorado,PG,91
Fantasia 2000,G,NA
Pocahontas II: Journey to a New World,TV-G,64
The Emperor's New Groove,G,95
Fantasia,G,61
An American Tail,G,67
Pooh's Grand Adventure: The Search for Christopher Robin,G,NA
FernGully 2: The Magical Rescue,G,NA
Balto 2: Wolf Quest,G,NA
Balto,G,64
Back to the Secret Garden,G,NA
The Brave Little Toaster Goes to Mars,G,NA
The Brave Little Toaster to the Rescue,G,NA
An American Tail: The Mystery of the Night Monster,G,NA
An American Tail: Fievel Goes West,G,NA
The Last Unicorn,G,NA
The Iron Giant,PG,83
Brother Bear 2,G,57
The Fox and the Hound 2,G,NA
The Smurfs and the Magic Flute,G,NA
Jetsons: The Movie,G,NA
We're Back! A Dinosaur's Story,G,NA
A Monster in Paris,PG,NA
The Gruffalo,TV-Y,NA
DreamWorks How to Train Your Dragon Legends,TV-PG,NA
Ernest & Celestine,PG,NA
The Magic School Bus,TV-Y,81
Animaniacs,TV-Y7,72
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,NA
PopPixie,TV-G,NA
Jack and the Cuckoo-Clock Heart,PG,NA
The Pirate Fairy,G,57
Axel: The Biggest Little Hero,PG,NA
The Adventures of Figaro Pho,TV-Y7,NA
The Boxcar Children,G,NA
Pet Pals in Windland,TV-G,NA
Walt Disney Animation Studios Short Films Collection,TV-G,84
Alpha and Omega: Dino Digs,TV-G,NA
Alice Through the Looking Glass,PG,96
Quackerz,PG,NA
Hatched,TV-Y7,NA
Blinky Bill: The Movie,PG,NA
The Real Ghostbusters,TV-Y7,65
Flubber,PG,83
Anastasia,G,93
An Extremely Goofy Movie,G,67
An American Tail,G,67
Scooby-Doo,PG,86
FernGully: The Last Rainforest,G,70
Balto 2: Wolf Quest,G,NA
Balto,G,64
The Lizzie McGuire Movie,PG,NA
The Brave Little Toaster Goes to Mars,G,NA
The Brave Little Toaster to the Rescue,G,NA
Recess: Taking the Fifth Grade,G,NA
An American Tail: The Mystery of the Night Monster,G,NA
An American Tail: Fievel Goes West,G,NA
The Iron Giant,PG,83
The Very Hungry Caterpillar and Other Stories,TV-Y,NA
The Hero of Color City,G,NA
Dino Squad,TV-Y7,NA
The Little Engine That Could,G,NA
Delhi Safari,PG,NA
Ninja Turtles: The Next Mutation,TV-Y7-FV,NA
Pound Puppies,TV-Y,NA
Sammy 2,TV-PG,NA
Monster Math Squad,TV-G,NA
Care Bears: Welcome to Care-a-Lot,TV-Y,NA
Clifford the Big Red Dog,TV-Y,NA
Clifford's Puppy Days,TV-Y,NA
Axel: The Biggest Little Hero,PG,NA
Agent F.O.X.,PG,NA
Dinosaur King,TV-Y7-FV,NA
Ribbit,PG,NA
Chuggington,TV-Y,NA
Rooster Doodle-doo,TV-G,NA
Octonauts,TV-Y,NA
Kong: King of the Apes,TV-Y7-FV,NA
My Animal Friends,TV-Y,NA
Worms,PG,NA
Puffin Rock,TV-Y,NA
Little Einsteins,TV-Y,70
