title,country,year_added,release_year,rating,type1,user_rating_score
Pocoyo,Spain,2019,2017,TV-Y,Kids' TV,67
Sofia the First,United States,2018,2017,TV-Y,Kids' TV,82
Barbie Life in the Dreamhouse,United States,2017,2012,TV-Y,Kids' TV,85
All Hail King Julien,United States,2017,2017,TV-Y7,Kids' TV,71
Dragons: Race to the Edge,United States,2018,2018,TV-Y7,Kids' TV,88
The Little Prince,France,2020,2015,PG,Children & Family Movies,71
The Jungle Book,India,2019,2010,TV-Y7,Kids' TV,97
Goldie & Bear,United States,,2017,TV-Y,Kids' TV,77
Talking Tom and Friends,Cyprus,2020,2017,TV-Y,Kids' TV,61
Tarzan,United States,2018,1999,G,Children & Family Movies,95
Chicken Little,United States,2016,2005,G,Children & Family Movies,92
Bee Movie,United States,2017,2007,PG,Children & Family Movies,94
Coraline,United States,2017,2009,PG,Children & Family Movies,95
The Magic School Bus,Canada,2014,1997,TV-Y,Kids' TV,81
Masha and the Bear,Russia,2020,2019,TV-Y,Kids' TV,81
Sofia the First,United States,2018,2017,TV-Y,Kids' TV,82
Barbie Life in the Dreamhouse,United States,2017,2012,TV-Y,Kids' TV,85
Dragons: Race to the Edge,United States,2018,2018,TV-Y7,Kids' TV,88
Walt Disney Animation Studios Short Films Collection,United States,2015,2015,TV-Y,Children & Family Movies,84
Bunk'd,United States,2020,2020,TV-G,Kids' TV,61
The Jungle Book,India,2019,2010,TV-Y7,Kids' TV,97
Goldie & Bear,United States,,2017,TV-Y,Kids' TV,77
Growing Up Wild,United States,2017,2016,G,Children & Family Movies,80
Tarzan,United States,2018,1999,G,Children & Family Movies,95
An American Tail,United States,2018,1986,G,Children & Family Movies,67
Balto,United States,2018,1995,G,Children & Family Movies,64
The Magic School Bus,Canada,2014,1997,TV-Y,Kids' TV,81
The Pirate Fairy,United States,2014,2014,G,Children & Family Movies,57
Walt Disney Animation Studios Short Films Collection,United States,2015,2015,TV-Y,Children & Family Movies,84
An American Tail,United States,2018,1986,G,Children & Family Movies,67
Balto,United States,2018,1995,G,Children & Family Movies,64
Tarzan,United States,2018,1999,G,Children & Family Movies,95
An American Tail,United States,2018,1986,G,Children & Family Movies,67
Balto,United States,2018,1995,G,Children & Family Movies,64
The Magic School Bus,Canada,2014,1997,TV-Y,Kids' TV,81
The Pirate Fairy,United States,2014,2014,G,Children & Family Movies,57
Walt Disney Animation Studios Short Films Collection,United States,2015,2015,TV-Y,Children & Family Movies,84
Balto,United States,2018,1995,G,Children & Family Movies,64
The Pirate Fairy,United States,2014,2014,G,Children & Family Movies,57
Growing Up Wild,United States,2017,2016,G,Children & Family Movies,80
An American Tail,United States,2018,1986,G,Children & Family Movies,67
Balto,United States,2018,1995,G,Children & Family Movies,64
H2O: Just Add Water,Australia,2020,2009,TV-PG,Kids' TV,74
The Magic School Bus,Canada,2014,1997,TV-Y,Kids' TV,81
Dawn of the Croods,United States,2017,2017,TV-Y7,Kids' TV,72
Growing Up Wild,United States,2017,2016,G,Children & Family Movies,80
